day,weight,calories,workout,protein,sleep
1,87.0,2000,60,150,8.5
2,86.8,1850,70,140,8.0
3,86.6,1900,55,138,8.5
4,86.5,1800,0,135,9.0
5,86.3,1850,65,140,8.0
6,86.0,1950,60,145,8.5
7,85.8,1800,50,135,8.0
8,85.9,1750,0,132,9.0
9,85.6,1850,60,140,8.5
10,85.3,1900,70,150,8.0
11,85.1,1800,55,135,8.5
12,85.0,1750,0,130,9.0
13,84.8,1850,65,140,8.5
14,84.5,2000,60,150,8.0
15,84.3,1900,50,135,8.5
16,84.4,1800,0,132,9.0
17,84.1,1850,60,140,8.0
18,83.9,1950,70,145,8.5
19,83.7,1800,55,135,8.0
20,83.8,1750,0,130,9.0
21,83.6,1850,60,140,8.5
22,83.4,1900,65,145,8.0
23,83.3,1800,50,135,8.5
24,83.2,1750,0,132,9.0
25,83.1,1850,60,140,8.0
26,83.0,1950,70,150,8.5
27,82.9,1800,55,135,8.0
28,83.0,1750,0,130,9.0
29,82.8,1850,60,140,8.5
30,83.1,1900,65,145,8.0
